date,snowtotal
1949-06-30,91.4
1950-06-30,54.7
1951-06-30,96.4
1952-06-30,83.3
1953-06-30,89.0
1954-06-30,63.6
1955-06-30,72.0
1956-06-30,84.7
1957-06-30,103.2
1958-06-30,70.4
1959-06-30,112.5
1960-06-30,91.0
1961-06-30,85.1
1962-06-30,81.5
1963-06-30,59.5
1964-06-30,74.0
1965-06-30,98.9
1966-06-30,63.5
1967-06-30,56.4
1968-06-30,97.7
1969-06-30,46.9
1970-06-30,134.5
1971-06-30,67.2
1972-06-30,76.3
1973-06-30,128.3
1974-06-30,83.8
1975-06-30,84.0
1976-06-30,58.9
1977-06-30,39.8
1978-06-30,76.0
1979-06-30,M
1980-06-30,M
1981-06-30,M
1982-06-30,20.8
1983-06-30,M
1984-06-30,88.3
1985-06-30,72.2
1986-06-30,92.1
1987-06-30,124.7
1988-06-30,94.8
1989-06-30,92.5
1990-06-30,M
1991-06-30,77.2
1992-06-30,73.3
1993-06-30,95.2
1994-06-30,M
1995-06-30,104.0
1996-06-30,88.5
1997-06-30,129.4
1998-06-30,132.6
1999-06-30,81.4
2000-06-30,71.9
2001-06-30,83.8
2002-06-30,63.4
2003-06-30,99.0
2004-06-30,70.6
2005-06-30,76.7
2006-06-30,51.4
2007-06-30,122.2
2008-06-30,82.9
2009-06-30,81.1
2010-06-30,134.5
2011-06-30,47.3
2012-06-30,94.7
2013-06-30,125.3
2014-06-30,89.8
2015-06-30,117.1
2016-06-30,109.7
2017-06-30,71.5
2018-06-30,62.4
2019-06-30,95.1
2020-06-30,152.0
2021-06-30,103.3
2022-06-30,88.7
2023-06-30,81.0
2024-06-30,93.7
