CMCC,DWD,ECCC,ECMWF,JMA,MF,NCEP,Obs
333.19,269.59,510.62,622.55,154.21,621.78,571.48,953.33
291.67,188.3,413.92,461.49,149.8,546.58,418.04,561
333.54,233.38,491.73,566.94,132.33,541.03,509.92,714
307.19,204.36,441.13,605.88,175.93,548.19,442.45,674
312.51,193.04,441.5,597.55,148.58,517.9,519.24,608
349.27,230.98,399.91,543.75,157.51,704.4,619.56,823
323.37,245.31,456.49,566.33,161.72,622.83,451.16,659.33
298.92,229.38,418.9,412.94,165.6,542.41,375.32,706.67
387.91,234.64,452.57,560.67,172.15,677.07,495.27,607.33
298.66,225.61,459.98,562.61,143.15,541.72,388.03,696.67
331.64,211.81,392.47,531.45,153.4,575.79,565.31,631.33
293.43,207.4,489.26,502.26,177.66,592.26,478.94,772.67
308.67,200.49,345.19,449.61,143.18,612.71,514.25,742.33
343.63,292.56,418.61,551.75,173.78,581.58,499.62,765.33
362.88,298.49,492.08,610.98,151.03,625.38,467.19,774.67
355.91,215.67,416.33,575.2,168.91,648.75,536.54,584.33
309.45,237.21,385.24,540.98,178.66,572.51,500.53,548
322.15,223.75,397.84,538.21,174.26,621.68,567.07,734
338.11,255.69,424.82,486.54,180.95,588.38,564.33,551.33
326.67,187.95,316.89,407.13,166,505.05,429.46,763.67
268.51,176.82,365.73,487.66,157.62,400.39,469.73,751.67
288.23,189.98,392.46,483.26,143.45,571.02,428.25,526.67
296.91,158.95,335.73,463.72,151.37,488.2,492.84,749.33
340.84,258.42,452.05,546.03,147.05,756.05,588.75,630.33
