"STATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00055116","1948-08-01","0.10","0.0","0.0","87","50"
"USC00055116","1948-08-02","0.00","0.0","0.0","84","51"
"USC00055116","1948-08-03","0.00","0.0","0.0","75","54"
"USC00055116","1948-08-04","0.09","0.0","0.0","71","57"
"USC00055116","1948-08-05","0.00","0.0","0.0","81","57"
"USC00055116","1948-08-06","0.00","0.0","0.0","85","56"
"USC00055116","1948-08-07","0.00","0.0","0.0","90","49"
"USC00055116","1948-08-08","0.00","0.0","0.0","84","49"
"USC00055116","1948-08-09","0.00","0.0","0.0","91","50"
"USC00055116","1948-08-10","0.00","0.0","0.0","90","49"
"USC00055116","1948-08-11","0.00","0.0","0.0","92","46"
"USC00055116","1948-08-12","0.00","0.0","0.0","90","50"
"USC00055116","1948-08-13","0.05","0.0","0.0","80","56"
"USC00055116","1948-08-14","0.00","0.0","0.0","85","48"
"USC00055116","1948-08-15","0.00","0.0","0.0","89","52"
"USC00055116","1948-08-16","0.00","0.0","0.0","92","49"
"USC00055116","1948-08-17","0.00","0.0","0.0","89","51"
"USC00055116","1948-08-18","0.00","0.0","0.0","91","58"
"USC00055116","1948-08-19","0.00","0.0","0.0","96","54"
"USC00055116","1948-08-20","0.00","0.0","0.0","92","52"
"USC00055116","1948-08-21","0.00","0.0","0.0","89","50"
"USC00055116","1948-08-22","0.00","0.0","0.0","91","58"
"USC00055116","1948-08-23","0.00","0.0","0.0","93","55"
"USC00055116","1948-08-24","0.00","0.0","0.0","86","52"
"USC00055116","1948-08-25","0.02","0.0","0.0","78","55"
"USC00055116","1948-08-26","0.32","0.0","0.0","78","50"
"USC00055116","1948-08-27","0.00","0.0","0.0","80","49"
"USC00055116","1948-08-28","0.00","0.0","0.0","91","43"
"USC00055116","1948-08-29","0.00","0.0","0.0","94","49"
"USC00055116","1948-08-30","0.00","0.0","0.0","92","47"
"USC00055116","1948-08-31","0.00","0.0","0.0","93","49"
"USC00055116","1948-09-01","0.00","0.0","0.0","91","53"
"USC00055116","1948-09-02","0.00","0.0","0.0","92","50"
"USC00055116","1948-09-03","0.00","0.0","0.0","89","45"
"USC00055116","1948-09-04","0.00","0.0","0.0","93","41"
"USC00055116","1948-09-05","0.00","0.0","0.0","88","47"
"USC00055116","1948-09-06","0.00","0.0","0.0","87","48"
"USC00055116","1948-09-07","0.06","0.0","0.0","67","47"
"USC00055116","1948-09-08","0.00","0.0","0.0","70","45"
"USC00055116","1948-09-09","0.00","0.0","0.0","77","40"
"USC00055116","1948-09-10","0.00","0.0","0.0","85","39"
"USC00055116","1948-09-11","0.00","0.0","0.0","87","41"
"USC00055116","1948-09-12","0.00","0.0","0.0","86","45"
"USC00055116","1948-09-13","0.00","0.0","0.0","85","41"
"USC00055116","1948-09-14","0.00","0.0","0.0","90","42"
"USC00055116","1948-09-15","0.00","0.0","0.0","90","41"
"USC00055116","1948-09-16","0.00","0.0","0.0","84","43"
"USC00055116","1948-09-17","0.00","0.0","0.0","88","42"
"USC00055116","1948-09-18","0.00","0.0","0.0","88","46"
"USC00055116","1948-09-19","0.00","0.0","0.0","77","58"
"USC00055116","1948-09-20","0.18","0.0","0.0","73","54"
"USC00055116","1948-09-21","0.00","0.0","0.0","79","45"
"USC00055116","1948-09-22","0.00","0.0","0.0","83","45"
"USC00055116","1948-09-23","0.00","0.0","0.0","83","41"
"USC00055116","1948-09-24","0.00","0.0","0.0","77","47"
"USC00055116","1948-09-25","0.00","0.0","0.0","85","42"
"USC00055116","1948-09-26","0.00","0.0","0.0","81","59"
